,framework,task,fold,submitted_ta_runs,finished_ta_runs,n_configs,wallclock_time_used,ta_time_used,inc_changed,_n_configs_per_intensify,_n_calls_of_intensify,_ema_n_configs_per_intensifiy,_EMA_ALPHA
0,autosklearn,cnae-9,0,245,245,244,3589.552807569504,2975.1883981227875,8,0,0,0.0,0.2
1,autosklearn,cnae-9,1,238,238,238,3593.1354620456696,3047.06613779068,6,0,0,0.0,0.2
2,autosklearn,cnae-9,2,256,256,256,3592.974200487137,2999.9310512542725,6,0,0,0.0,0.2
3,autosklearn,cnae-9,3,101,101,100,3588.3601558208466,3383.656418800354,7,0,0,0.0,0.2
4,autosklearn,cnae-9,4,88,88,88,3590.8532252311707,3407.275552511215,4,0,0,0.0,0.2
5,autosklearn,higgs,0,26,26,26,3592.421495437622,3127.1874685287476,2,0,0,0.0,0.2
6,autosklearn,higgs,1,26,26,25,3592.9370555877686,3067.8829073905945,2,0,0,0.0,0.2
7,autosklearn,higgs,2,26,26,25,3587.918683052063,3097.880516052246,2,0,0,0.0,0.2
8,autosklearn,higgs,3,26,26,25,3590.5330629348755,3096.8445856571198,2,0,0,0.0,0.2
9,autosklearn,higgs,4,26,26,25,3588.6870200634003,3093.77445936203,2,0,0,0.0,0.2
10,autosklearn,kr-vs-kp,0,90,90,89,3593.68461227417,3240.597886800766,2,0,0,0.0,0.2
11,autosklearn,kr-vs-kp,1,68,68,67,3589.2413647174835,3353.0304062366486,2,0,0,0.0,0.2
12,autosklearn,kr-vs-kp,2,77,77,77,3595.6535420417786,3282.610829114914,3,0,0,0.0,0.2
13,autosklearn,kr-vs-kp,3,67,67,66,3589.1231648921967,3347.2878227233887,3,0,0,0.0,0.2
14,autosklearn,kr-vs-kp,4,73,73,73,3594.61420750618,3318.577183008194,2,0,0,0.0,0.2
15,autosklearn,vehicle,0,147,147,147,3593.975598335266,3241.214380502701,6,0,0,0.0,0.2
16,autosklearn,vehicle,1,594,594,593,3589.8228964805603,2120.1039423942566,10,0,0,0.0,0.2
17,autosklearn,vehicle,2,553,553,553,3590.844129562378,2192.785658121109,5,0,0,0.0,0.2
18,autosklearn,vehicle,3,483,483,483,3590.732307434082,2375.1780693531036,7,0,0,0.0,0.2
19,autosklearn,vehicle,4,508,508,508,3595.121673822403,2336.4688062667847,6,0,0,0.0,0.2
20,autosklearn,MiniBooNE,0,26,26,25,3592.2925906181335,3276.877903699875,3,0,0,0.0,0.2
21,autosklearn,MiniBooNE,1,26,26,25,3592.309694290161,3344.0392248630524,4,0,0,0.0,0.2
22,autosklearn,MiniBooNE,2,26,26,25,3592.0115180015564,3276.0356092453003,3,0,0,0.0,0.2
23,autosklearn,MiniBooNE,3,26,26,25,3592.3882246017456,3258.594576358795,3,0,0,0.0,0.2
24,autosklearn,MiniBooNE,4,26,26,25,3592.235319375992,3291.9413075447083,3,0,0,0.0,0.2
25,autosklearn,connect-4,0,31,31,31,3592.5996046066284,3161.7211434841156,3,0,0,0.0,0.2
26,autosklearn,connect-4,1,34,34,33,3591.1610951423645,3048.0762617588043,3,0,0,0.0,0.2
27,autosklearn,connect-4,2,34,34,34,3588.2018156051636,3093.7584068775177,3,0,0,0.0,0.2
28,autosklearn,connect-4,3,34,34,34,3592.788467645645,3032.6788041591644,4,0,0,0.0,0.2
29,autosklearn,connect-4,4,36,36,35,3592.8074827194214,2997.420606136322,3,0,0,0.0,0.2
30,autosklearn,segment,0,182,182,181,3587.728210926056,2957.716828107834,3,0,0,0.0,0.2
31,autosklearn,segment,1,312,312,312,3593.068888902664,2461.2289628982544,6,0,0,0.0,0.2
32,autosklearn,segment,2,237,237,237,3593.166410923004,2794.7251641750336,6,0,0,0.0,0.2
33,autosklearn,segment,3,295,295,294,3588.9997725486755,2618.912405014038,4,0,0,0.0,0.2
34,autosklearn,segment,4,229,229,228,3588.581447839737,2752.2512996196747,3,0,0,0.0,0.2
35,autosklearn,Australian,0,516,516,516,3591.4152204990387,2149.8777027130127,6,0,0,0.0,0.2
36,autosklearn,Australian,1,587,587,586,3589.290360689163,1803.3142702579498,7,0,0,0.0,0.2
37,autosklearn,Australian,2,549,549,548,3589.4420335292816,1994.7990896701813,7,0,0,0.0,0.2
38,autosklearn,Australian,3,371,371,371,3595.9543664455414,2568.364691257477,5,0,0,0.0,0.2
39,autosklearn,Australian,4,478,478,477,3589.687043428421,2097.212158679962,8,0,0,0.0,0.2
40,autosklearn,adult,0,48,48,47,3588.7414638996124,2872.903080224991,3,0,0,0.0,0.2
41,autosklearn,adult,1,50,50,49,3592.811283349991,2817.2986669540405,3,0,0,0.0,0.2
42,autosklearn,adult,2,50,50,49,3593.4373223781586,2853.156913757324,3,0,0,0.0,0.2
43,autosklearn,adult,3,44,44,43,3593.7452416419983,2851.4492671489716,4,0,0,0.0,0.2
44,autosklearn,adult,4,50,50,49,3593.719295024872,2840.033245563507,3,0,0,0.0,0.2
45,autosklearn,Albert,0,26,26,25,3577.0197851657867,3121.9232935905457,2,0,0,0.0,0.2
46,autosklearn,Albert,1,24,24,23,3575.445835828781,3155.298061609268,2,0,0,0.0,0.2
47,autosklearn,Albert,2,24,24,23,3575.2404873371124,3142.8225553035736,2,0,0,0.0,0.2
48,autosklearn,Albert,3,22,22,22,3570.2687883377075,3145.9359843730927,2,0,0,0.0,0.2
49,autosklearn,Albert,4,22,22,21,3575.390397310257,3082.3816046714783,2,0,0,0.0,0.2
