,index,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
0,autosklearn,0.6538660521117486,0.8468590831918507,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9968964032718877,0.9903030303030302,0.8346212121212122
1,Alg. 5FULL es1 B100 N1.0,0.6538660521117486,0.8433616298811545,0.9145457328637212,0.7929100684259741,0.9138888888888888,0.52055656842786,0.647653046165889,0.9774558725685883,0.9841991341991342,0.8368398268398268
2,Alg. 5FULL es1 B10 N1.0,0.6538660521117486,0.8381494057724957,0.9145457328637212,0.7903532419519076,0.9203703703703703,0.52055656842786,0.6476530461658891,0.9769245822081327,0.9852813852813853,0.8362316017316017
3,Alg. 5FULL es1 B50 N0.5,0.6538660521117486,0.8427843803056027,0.9145457328637212,0.7907117733235014,0.9157407407407406,0.52055656842786,0.647653046165889,0.9789528785566123,0.987012987012987,0.8327532467532468
4,"Alg. 5
(no Line 12.) es1 B100 N1.0",0.6538660521117486,0.8456876061120543,0.9278907619228576,0.8431682164972653,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9972885601346327,0.9897835497835498,0.8482575757575758
5,"Alg. 5
(no Line 12.) es1 B10 N1.0",0.6538660521117486,0.8466893039049236,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9972885601346327,0.9906493506493504,0.8476233766233765
6,"Alg. 5
(no Line 12.) es1 B50 N0.5",0.6538660521117486,0.8434634974533107,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9974192790888811,0.9899567099567099,0.844616883116883
7,Alg. 12 es1 B100 N1.0,0.6538660521117486,0.8456876061120543,0.9278907619228576,,0.937037037037037,,0.7333641050071293,0.9972885601346327,0.9897835497835498,0.8482575757575758
8,Alg. 12 es1 B10 N1.0,0.6538660521117486,0.8466893039049236,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9972885601346327,0.9906493506493504,0.8476233766233767
9,Alg. 12 es1 B50 N0.5,0.6538660521117486,0.8434634974533107,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9974192790888811,0.9899567099567099,0.844616883116883
10,Alg. 7 es1 B100 N1.0,0.6538660521117486,0.8468590831918507,0.9278907619228576,0.8431682164972653,0.9370370370370369,0.6833373509039125,0.7333641050071293,0.9973321331193823,0.98989898989899,0.8487987012987013
11,Alg. 7 es1 B10 N1.0,0.6538660521117486,0.8466893039049236,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9972885601346327,0.9906493506493504,0.8476233766233768
12,Alg. 7 es1 B50 N0.5,0.6538660521117486,0.8434634974533107,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9974192790888811,0.9899567099567099,0.844616883116883
13,Alg. 5 es1 B100 N1.0,0.6538660521117486,0.8456876061120543,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9972885601346327,0.9897835497835498,0.8482575757575758
14,Alg. 5 es1 B10 N1.0,0.6538660521117486,0.8466893039049236,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9972885601346327,0.9906493506493504,0.8476233766233767
15,Alg. 5 es1 B50 N0.5,0.6538660521117486,0.8434634974533107,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9974192790888811,0.9899567099567099,0.844616883116883
16,Alg. 13 es1 B100 N1.0,0.6538660521117486,0.8441086587436333,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.997027122226136,0.9903030303030302,0.8295974025974026
17,Alg. 13 es1 B10 N1.0,0.6538660521117486,0.84393039049236,0.9278907619228576,0.8431682164972653,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9972558803960705,0.9893939393939395,0.8370508658008659
18,Alg. 13 es1 B50 N0.5,0.6538660521117486,0.8401315789473685,0.9278907619228576,0.8444727218071699,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9971578411803843,0.9896103896103895,0.8411774891774894
19,Alg. 11 es1 B100 N1.0,0.6538660521117486,0.844516129032258,,,0.937037037037037,,,0.9968964032718877,0.9897835497835498,0.8478679653679654
20,Alg. 11 es1 B10 N1.0,0.6538660521117486,0.8470967741935482,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.997027122226136,0.9903030303030302,0.8421883116883115
21,Alg. 11 es1 B50 N0.5,0.6538660521117486,0.843056027164686,0.9278907619228576,0.8431682164972653,0.9374074074074075,0.6833373509039125,0.7333641050071293,0.9968964032718877,0.9903030303030302,0.8487077922077922
22,Alg. 10 es1 B100 N1.0,0.5,0.5,0.7776895932117773,0.5,0.944074074074074,0.6833373509039125,0.5,0.918344487495597,0.9913419913419913,0.8502922077922077
23,Alg. 10 es1 B10 N1.0,0.5,0.5513412563667233,0.9075524188301836,0.5000269106566201,0.9422222222222221,0.6833373509039125,0.5194976291033658,0.9836389965167704,0.9913419913419913,0.8557878787878789
24,Alg. 10 es1 B50 N0.5,0.5,0.5,0.8295649752894516,0.5,0.9451851851851851,0.6833373509039125,0.5001730618444661,0.7304575163398693,0.990995670995671,0.8517424242424243
25,Alg. 9 es1 B100 N1.0,0.6538660521117486,0.8441086587436333,0.9278907619228576,,0.937037037037037,,,0.997027122226136,0.9903030303030302,0.8319134199134199
26,Alg. 9 es1 B10 N1.0,0.6538660521117486,0.8476230899830222,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9971578411803843,0.989090909090909,0.8379285714285715
27,Alg. 9 es1 B50 N0.5,0.6538660521117486,0.8413582342954159,0.9278907619228576,0.8431682164972655,0.937037037037037,0.6833373509039125,0.7333641050071293,0.9971578411803843,0.9899567099567099,0.8342056277056276
28,bagging,0.6538660521117486,0.8505602716468591,0.9012030369181213,0.8240335966068448,0.944074074074074,0.6559861662506834,0.7224443060531864,0.9964173613557199,0.9913419913419913,0.843560606060606
