tool,Albert,Australian,MiniBooNE,adult,cnae-9,connect-4,higgs,kr-vs-kp,segment,vehicle
AutoGluon,4.6,4.9,8.4,10.0,4.1,2.4,10.0,6.3,4.9,2.4
autosklearn,4.3,5.3,3.2,6.4,3.4,5.0,7.2,4.6,5.1,1.8
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max,7.5,6.4,3.6,2.6,9.5,8.0,2.4,4.4,5.2,3.8
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_overall_max_stackinstance,4.0,6.3,5.6,9.0,7.4,3.2,6.2,9.6,5.2,7.7
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max,7.5,4.0,3.8,4.0,5.9,5.2,2.4,4.5,6.3,5.0
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats10_avgTrue_ensemble_perrun_max_stackinstance,4.1,3.7,5.4,4.8,3.7,2.2,6.6,9.4,4.6,7.7
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max,7.7,6.4,9.4,3.4,8.4,9.5,3.5,3.6,5.2,5.2
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_overall_max_stackinstance,4.0,6.2,3.2,6.1,6.3,5.0,6.6,4.1,5.2,8.4
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max,7.7,4.4,9.2,3.2,3.6,9.5,3.5,4.5,6.7,5.6
autosklearnHyperBandAVGRepeatsRobustEnsemble_cv5_repeats20_avgTrue_ensemble_perrun_max_stackinstance,3.6,7.4,3.2,5.5,2.7,5.0,6.6,4.0,6.6,7.4
